N;Grupo;Animal;Dosagem;PA_mmHg;Desvio_PA;Ptr_cmH2O;Desvio_Ptr;Perturbacao
87;SHR 17 Semanas Tratados;2;PBS;8,574,408,163;7,405,588,143;2,865,067,624;0.654400413;12
88;SHR 17 Semanas Tratados;2;PBS;8,696,142,857;7,517,811,016;2,884,571,802;0.65130252;13
89;SHR 17 Semanas Tratados;2;PBS;8,500,989,796;7,539,224,371;2,901,635,117;0.655934869;14
90;SHR 17 Semanas Tratados;2;PBS;8,508,530,612;7,694,481,113;2,908,688,642;0.654974107;15
91;SHR 17 Semanas Tratados;2;3 ug/kg;4,367,521,705;5,352,474,993;2,929,499,347;0.666087404;1
92;SHR 17 Semanas Tratados;2;3 ug/kg;5,568,095,724;6,334,850,333;2,967,840,731;0.669190595;2
93;SHR 17 Semanas Tratados;2;3 ug/kg;5,087,819,802;7,084,385,322;2,930,088,512;0.667454072;3
94;SHR 17 Semanas Tratados;2;3 ug/kg;5,850,740,127;4,145,463,702;2,951,790,862;0.664348044;4
95;SHR 17 Semanas Tratados;2;3 ug/kg;5,635,304,317;6,234,652,624;2,942,695,692;0.662506827;5
96;SHR 17 Semanas Tratados;2;3 ug/kg;6,617,211,055;6,024,439,473;2,944,931,854;0.664008907;6
97;SHR 17 Semanas Tratados;2;3 ug/kg;6,438,200,046;7,420,954,898;2,935,079,765;0.663516096;7
98;SHR 17 Semanas Tratados;2;3 ug/kg;7,144,213,719;464,543,435;2,910,279,765;0.663932619;8
99;SHR 17 Semanas Tratados;2;3 ug/kg;7,046,866;7,359,512,676;2,915,860,836;0.663993411;9
100;SHR 17 Semanas Tratados;2;3 ug/kg;7,900,298,961;7,542,487,589;2,917,334,595;0.669702094;10
101;SHR 17 Semanas Tratados;2;3 ug/kg;7,474,587,221;6,903,747,228;2,902,863,969;0.667684621;11
102;SHR 17 Semanas Tratados;2;3 ug/kg;8,156,965,093;5,928,081,358;2,915,001,567;0.667289674;12
103;SHR 17 Semanas Tratados;2;3 ug/kg;8,013,920,663;8,319,478,066;2,887,717,493;0.675974271;13
