Time(s), Pressure(mmHg), Action Number
12.96,99.86,0
12.98,89.41,0
13.00,85.92,0
13.02,85.05,0
13.04,84.11,0
13.06,80.78,0
13.08,76.95,0
13.10,74.08,0
13.12,73.82,0
13.14,90.18,0
13.16,102.95,0
13.18,98.14,0
13.20,92.59,0
13.22,85.92,0
13.24,84.69,0
13.26,83.34,0
13.28,80.22,0
13.30,76.57,0
13.32,73.79,0
13.34,72.79,0
13.36,80.66,0
13.38,99.98,0
13.40,103.51,0
13.42,93.39,0
13.44,86.44,0
13.46,85.12,0
13.48,83.64,0
13.50,82.17,0
13.52,78.19,0
13.54,74.88,0
13.56,72.56,0
13.58,80.02,0
13.60,99.90,0
13.62,104.40,0
13.64,94.56,0
13.66,89.88,0
13.68,86.31,0
13.70,85.43,0
13.72,83.02,0
13.74,79.19,0
13.76,75.78,0
13.78,73.36,0
13.80,80.55,0
13.82,90.56,0
13.84,103.15,0
13.86,98.27,0
13.88,88.52,0
13.90,85.39,0
13.92,84.52,0
13.94,82.24,0
13.96,78.61,0
13.98,76.83,0
14.00,74.05,0
14.02,74.38,0
14.04,92.06,0
14.06,104.53,0
14.08,99.07,0
14.10,88.98,0
14.12,85.84,0
14.14,85.45,0
14.16,83.89,0
14.22,73.41,0
14.24,72.71,0
14.26,84.78,0
14.28,102.82,0
14.30,103.22,0
14.32,92.49,0
14.34,87.07,0
14.36,86.06,0
14.38,84.16,0
14.40,82.51,0
14.42,78.63,0
14.44,75.43,0
14.46,73.60,0
14.48,85.55,0
14.50,101.92,0
14.52,101.18,0
14.54,90.94,0
14.56,87.65,0
14.58,85.65,0
14.60,84.58,0
14.62,81.83,0
14.64,78.11,0
14.66,75.08,0
14.68,73.61,0
14.70,87.35,0
14.72,97.41,0
14.74,105.02,0
14.76,96.51,0
14.78,88.08,0
14.80,86.18,0
14.82,84.92,0
14.84,81.76,0
14.86,77.92,0
14.88,76.27,0
14.90,73.62,0
14.92,77.78,0
14.94,97.81,0
14.96,105.54,0
14.98,97.08,0
15.00,88.77,0
15.02,86.91,0
15.04,86.42,0
15.06,84.28,0
15.08,80.56,0
15.10,76.97,0
15.12,74.38,0
15.14,79.19,0
